"","yhat_SN",""
"y_all[1]",3.97866678438,2.52193401843431
"y_all[2]",6.8985412989,7.2764125776245
"y_all[4]",11.1965351228,9.25622786569272
"y_all[5]",9.1200637325,10.046991925793
"y_all[6]",4.042951218927,2.29477376168474
"y_all[7]",4.57283522169,1.9360407798607
"y_all[8]",7.3759911742,8.48706822209914
"y_all[9]",5.1307391783,6.93550964128861
"y_all[10]",3.61498962573,4.58023724920607
"y_all[11]",9.6205542105,7.37244184996756
"y_all[12]",6.8911826807,8.20697956326172
"y_all[13]",7.8166267565,6.72772116366279
"y_all[14]",-0.54006087466637,-0.826499719763348
"y_all[15]",8.2127676675,7.81344068451024
"y_all[17]",7.653086065,9.02653222609296
"y_all[18]",11.7625753185,12.2974981656249
"y_all[19]",8.7354123046,10.0104932690448
"y_all[21]",9.2161121839,9.67023264080726
"y_all[22]",5.8279655988,5.42880910868752
"y_all[23]",4.3903147028,4.78046685797435
"y_all[24]",6.1104253718,5.70845067356136
"y_all[25]",8.0348441009,9.29859253071803
"y_all[26]",8.1457372677,6.95489337568518
"y_all[29]",7.8496633489,8.9827062681994
"y_all[31]",7.2408377329,7.78748938130615
"y_all[33]",8.3975738752,8.51607407270946
"y_all[35]",3.597952560491,2.32076365033347
"y_all[36]",6.1154617129,7.76147422331376
"y_all[37]",6.5447030286,9.36955821582104
"y_all[38]",5.8175710345,4.74508867847275
"y_all[39]",6.3944768785,6.2136505978067
"y_all[40]",5.4161579589,4.34923752778518
"y_all[41]",5.47620232445,7.0105920038131
"y_all[43]",6.422151001,3.61425999415288
"y_all[44]",10.3096697844,8.91990395812431
"y_all[46]",5.0689036127,3.15294441847769
"y_all[49]",2.7719191292348,2.98540749270984
"y_all[50]",9.266770588,8.53126437239172
"y_all[51]",8.9634138117,9.82143041950434
"y_all[52]",2.228306485984,2.91371030023858
"y_all[53]",5.8668499191,4.7459753312842
"y_all[54]",4.96581671335,5.97452642223979
"y_all[56]",9.3495272266,10.1697211794311
"y_all[59]",8.358837767,9.0358187922529
"y_all[60]",5.8177277794,7.13941065750559
"y_all[61]",10.2894700218,10.4167565029306
"y_all[62]",8.3164142299,10.5533085924531
"y_all[63]",5.31274697535,5.21419617035635
"y_all[64]",7.76003858,8.22624618271749
"y_all[65]",5.3404375232,4.42314553457537
"y_all[66]",6.4595045088,6.93220570839247
"y_all[67]",2.1842520503785,1.68644822067777
"y_all[68]",7.0319962557,7.23551239002914
"y_all[69]",2.7306133036308,2.84138174728088
"y_all[70]",9.3585928139,8.35248402077283
"y_all[72]",7.8218242494,8.10775717327603
"y_all[73]",5.2739663667,5.59674464094464
"y_all[74]",4.6593991407,3.6470159289406
"y_all[75]",4.24937819374,5.88630641489432
"y_all[76]",7.2373325035,7.19130167507367
"y_all[77]",5.3487837645,1.51428734987557
"y_all[78]",3.5253589579976,3.92800346111958
"y_all[79]",4.01027568896,4.73072093751331
"y_all[81]",6.8564575044,7.87301967105115
"y_all[83]",11.3977260381,10.4306584860622
"y_all[84]",3.521905045214,4.80461277956128
"y_all[86]",4.8799034947,4.73115244885915
"y_all[88]",4.34500563911,3.45731085306759
"y_all[89]",5.7992658304,8.28718350660448
"y_all[90]",7.3234859818,10.669721448262
"y_all[91]",7.6767893482,6.57714961335075
"y_all[92]",9.6063285941,10.8605901745094
"y_all[93]",6.5074985481,5.85995222271708
"y_all[94]",6.1970319625,6.9582850332788
"y_all[95]",9.4503180391,9.57503710390857
"y_all[96]",12.0637792559,12.361248141095
"y_all[99]",7.333316676,5.8997863378351
"y_all[100]",6.3643602837,5.72984147052766
"y_all[103]",4.09360028223,6.91845215373133
"y_all[104]",6.9762891531,8.11341447450096
"y_all[105]",5.6248116962,5.31644320171753
"y_all[106]",7.8908349467,5.4664692403948
"y_all[107]",7.7713645599,8.65090460146437
"y_all[108]",9.8442319096,11.3052031265218
"y_all[109]",8.3895590342,9.04019598347895
"y_all[110]",8.3644486178,7.49115113277688
"y_all[111]",3.99167305519,1.8997041992671
"y_all[114]",4.52479639862,4.30925964458591
"y_all[116]",3.355559549652,2.82893161416431
"y_all[117]",8.2001475107,10.1778665640993
"y_all[118]",5.46014258451,6.15147773218264
"y_all[119]",8.0240988019,7.58056098776056
"y_all[121]",5.7815318046,5.07855407317861
"y_all[122]",9.5910794371,9.77197339957308
"y_all[123]",6.4419355076,5.64573754812815
"y_all[125]",6.5701032047,2.79033981817064
"y_all[126]",8.9849277943,7.11593517066145
"y_all[127]",7.0685329393,6.8645359084187
"y_all[128]",5.1820856941,5.13744545344124
"y_all[130]",5.6469300191,3.39085775737879
"y_all[131]",5.1320764547,4.94982568557165
"y_all[132]",4.17011693575,4.34369493575002
"y_all[134]",4.884506551833,6.24051527883308
"y_all[135]",6.9366525745,5.79654070621135
"y_all[136]",1.2951758899041,1.05962997053788
"y_all[137]",7.3377419076,9.39700780334089
"y_all[138]",7.6422378993,6.89158365563035
"y_all[140]",7.8198689715,9.03922144142803
"y_all[141]",-0.3112754644393,0.696641550818347
"y_all[142]",7.0120851764,6.32513933794658
