"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.675,"11100"
"221",0.196,"11101"
"106",0.099,"10100"
"191",0.015,"11110"
"628",0.009,"10101"
"877",0.004,"11111"
"187",0.002,"10110"
