"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.4251484251402,0.254307020338625,0.01841674755,0.87671805775
"2",0.75,0.56239084881928,0.247051432682914,0.0622921095,0.92158331725
"3",0.85,0.93188417779,0.0408392310351706,0.82231053975,0.98280664825
"4",0.95,0.8136859837774,0.139515849922221,0.3776311435,0.9563359015
"5",0.6,1.1443355974715,0.415211098685511,-0.00169441426249998,1.7220538
"6",0.7,1.54450981949595,0.43752914176256,0.3925829345,2.1944106275
"7",0.6,1.53755152257868,0.75979361381909,-0.15785359975,2.6958961625
"8",0.5,1.4437108394165,0.622932146524891,0.093974757225,2.3519721475
"9",1.9,2.1146586278,0.253471854008144,1.466505045,2.520510615
"10",-0.5,-0.51763789184,0.0760053141299376,-0.64726096175,-0.3585122095
"11",-1.4,-1.5601691662,0.195596147764515,-1.88085714,-1.08947624
"12",0,-0.0179220783843236,0.0286244862398029,-0.07459506445,0.03715055745
"13",0,0.01118375472252,0.0262646874290498,-0.039871373625,0.062518103325
"14",404.41,404.41,404.41,404.41,404.41
