"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.56201542772982,0.237165271153291,0.050342932925,0.89310379075
"2","0.75",0.52789340715897,0.253615207917694,0.018849327025,0.91757846425
"3","0.85",0.9000840701947,0.193008142728131,0.24041789975,0.9977318
"4","0.95",0.91823527702,0.152938796225421,0.3857764825,0.99074618275
"5","0.6|0.7|0.6|0.5",1.17130057184,0.241556723163439,0.6800297925,1.6874691725
"6","1.9",1.8254093982,0.267704996135697,1.3603626175,2.36397873
"7","-0.5",-0.27127031305067,0.13318183933317,-0.55453481825,-0.0145353712
"8","-1.4",-1.35092559336,0.200697700505408,-1.775883225,-0.958310306
"9","0",0.001117525564298,0.0363798965328403,-0.07796888985,0.0726911441499999
"10","0",0.050678764316323,0.0488244909444383,-0.032043991375,0.1343791585
"11","37.1900000000001",37.1900000000001,37.1900000000001,37.1900000000001,37.1900000000001
