"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.29894804923,0.0291969003762881,0.24594235375,0.35598118325
"2",0.75,0.36506753827,0.0182636689387301,0.33127268925,0.400860724
"3",0.85,0.42668950215,0.0322300764071235,0.3668872695,0.492531625
"4",0.95,0.423131414,0.0227974863952923,0.37900766875,0.466202812
"5",1.9,3.328507868,0.0257087538664853,3.27879367,3.3789335225
"6",-0.5,-0.81370871543,0.0256412274503228,-0.86456935275,-0.765291854
"7",-1.4,-2.5472213241,0.0260943607594586,-2.596217935,-2.4953615475
"8",0,-0.004639736881276,0.0208456212259703,-0.045117520475,0.03752874685
"9",0,0.011412939931496,0.0210498040296846,-0.03127077835,0.05457943335
"10",56.6900000000001,56.6900000000001,56.6900000000001,56.6900000000001,56.6900000000001
