"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.60939689335,0.182075873067243,0.28333766025,0.92306327925
"2",0.75,0.77368512498,0.0987707939077645,0.55896184,0.946214588
"3",0.85,0.83432443083,0.0670070143527234,0.69055431875,0.95628348225
"4",0.95,0.89821407983,0.0341026780747758,0.83832267625,0.96712106975
"5",1.5,1.5659553073,0.283200320045655,1.2972791375,2.3568361325
"6",1.9,1.8862712787,0.0282381465972103,1.8276068175,1.9383515675
"7",-0.5,-0.53341352255,0.0278748600419886,-0.587269428,-0.47973421425
"8",-1.4,-1.390039815,0.0287916759922134,-1.4447643175,-1.3297911975
"9",0,-0.0143101520617837,0.0217612595513032,-0.05867385475,0.026605932225
"10",0,0.026960802700158,0.0222310489852201,-0.015550518775,0.0702785846
"11",69.0600000000001,69.0600000000001,69.0600000000001,69.0600000000001,69.0600000000001
