"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.111061646015,0.0976451775158351,0.01283012705,0.3743450895
"2",0.75,0.57809783999,0.0798353793828627,0.41127086325,0.72593301575
"3",0.85,0.72381854006,0.0543465397947393,0.606192927,0.81840161625
"4",0.95,0.84527655408,0.0182502996968162,0.80753520175,0.87835751075
"5",1.5,1.3208279305,0.023708771187705,1.27537639,1.36831211
"6",6,6.6161201152,0.0712047517376348,6.4814326875,6.7567293575
"7",7,7.9438784325,0.0556595450788639,7.833489465,8.0490766725
"8",6.5,7.5422904326,0.0756679276565169,7.4027242025,7.6881946225
"9",5,6.3701193024,0.053709941417947,6.2751416175,6.47747307
"10",1.9,1.8886002312,0.0304561472886453,1.8282610025,1.947330805
"11",-0.5,-0.53938512058,0.0302079607420564,-0.6013039095,-0.48116548425
"12",-1.4,-1.388320116,0.0307379179520033,-1.4536814475,-1.3295500175
"13",0,-0.020061002867447,0.0237904183688615,-0.06724298,0.028147830625
"14",0,0.0297594298977399,0.0248069868184919,-0.0196769638,0.07699536115
"15",31.11,31.11,31.11,31.11,31.11
