"","Actual","mean","sd","2.5%","97.5%"
"1",1.5,0.1441977491761,0.120883019157524,0.014511478425,0.47601093925
"2",0.5,0.56548332946,0.114522808749184,0.33537315175,0.7722739305
"3",0.75,0.510608715437,0.162643310480469,0.20764131825,0.81673047125
"4",0.85,0.87280458513,0.0229934015920797,0.822878962,0.91242089375
"5",0.95,1.290336628,0.0405660148154336,1.215737475,1.3725686075
"6",6,6.6652377848,0.10996257739011,6.460392585,6.893491105
"7",7,7.9100843817,0.0870422795904534,7.740694825,8.0802959975
"8",6.5,7.619924511,0.119191172168777,7.37325275,7.854103845
"9",5,6.238360616,0.0732945948098881,6.0836304825,6.386589735
"10",1.9,1.7995648817,0.0438713391685325,1.711411965,1.888607695
"11",-0.5,-0.56367646683,0.0447508661945292,-0.64715846575,-0.47160116825
"12",-1.4,-1.3959523298,0.0461619016061569,-1.487588085,-1.3079981275
"13",0,0.039612349937791,0.0301084351818272,-0.016497653375,0.10055040525
"14",0,0.002752865225868,0.0283679423134188,-0.052576071675,0.0601734984
"15",39.9500000000044,39.9500000000044,39.9500000000044,39.9500000000044,39.9500000000044
