"","yhat_HMC",""
"y_all[1]",4.16555368808,2.52193401843431
"y_all[2]",6.8792515933,7.2764125776245
"y_all[4]",11.0417456826,9.25622786569272
"y_all[5]",9.0698663942,10.046991925793
"y_all[6]",4.07551380512,2.29477376168474
"y_all[7]",4.60500345688,1.9360407798607
"y_all[8]",7.3839336468,8.48706822209914
"y_all[9]",5.3044206664,6.93550964128861
"y_all[10]",3.70409917293,4.58023724920607
"y_all[11]",9.5514997496,7.37244184996756
"y_all[12]",6.8731112639,8.20697956326172
"y_all[13]",8.0000038048,6.72772116366279
"y_all[14]",-0.2914835341869,-0.826499719763348
"y_all[15]",8.1612837872,7.81344068451024
"y_all[17]",7.7820089013,9.02653222609296
"y_all[18]",11.620271717,12.2974981656249
"y_all[19]",8.635432604,10.0104932690448
"y_all[20]",8.1053166523,6.12801171159699
"y_all[21]",9.3360492336,9.67023264080726
"y_all[22]",5.7075754275,5.42880910868752
"y_all[23]",4.38137994658,4.78046685797435
"y_all[24]",6.2596247294,5.70845067356136
"y_all[25]",7.9692700857,9.29859253071803
"y_all[26]",8.2206729232,6.95489337568518
"y_all[28]",5.8700814846,4.61663842222067
"y_all[29]",7.8817961916,8.9827062681994
"y_all[31]",7.0176137541,7.78748938130615
"y_all[32]",8.3579196643,6.80377066209229
"y_all[33]",8.3583357888,8.51607407270946
"y_all[34]",5.8807513937,7.37798592292869
"y_all[35]",3.79620792553,2.32076365033347
"y_all[36]",6.2611711085,7.76147422331376
"y_all[37]",6.5426464719,9.36955821582104
"y_all[38]",5.77245871558,4.74508867847275
"y_all[39]",6.3426198797,6.2136505978067
"y_all[40]",5.16938507346,4.34923752778518
"y_all[41]",5.393708245,7.0105920038131
"y_all[42]",6.839190694,6.07489808659736
"y_all[43]",6.3156654577,3.61425999415288
"y_all[44]",10.4229588426,8.91990395812431
"y_all[45]",6.6722190792,5.06549719189953
"y_all[46]",5.1869795841,3.15294441847769
"y_all[48]",8.7329708507,8.25286400265586
"y_all[49]",2.97385174324576,2.98540749270984
"y_all[50]",9.1822647466,8.53126437239172
"y_all[51]",8.921726143,9.82143041950434
"y_all[52]",2.38786320715266,2.91371030023858
"y_all[53]",5.8027103314,4.7459753312842
"y_all[54]",5.273518133167,5.97452642223979
"y_all[55]",10.0748194012,11.9709333110682
"y_all[56]",9.3204536459,10.1697211794311
"y_all[58]",6.6318232809,5.21112466586595
"y_all[59]",8.2947280705,9.0358187922529
"y_all[60]",5.95487286,7.13941065750559
"y_all[61]",10.1144975394,10.4167565029306
"y_all[62]",8.3593060054,10.5533085924531
"y_all[63]",5.28898556905,5.21419617035635
"y_all[64]",7.7960028518,8.22624618271749
"y_all[65]",5.5977683116,4.42314553457537
"y_all[66]",6.4925813079,6.93220570839247
"y_all[67]",2.2354642044,1.68644822067777
"y_all[68]",7.0194080729,7.23551239002914
"y_all[69]",2.608702278194,2.84138174728088
"y_all[70]",9.0951166178,8.35248402077283
"y_all[71]",6.0729091191,4.76366270366024
"y_all[72]",8.088711005,8.10775717327603
"y_all[73]",5.2464179826,5.59674464094464
"y_all[74]",4.912955615517,3.6470159289406
"y_all[75]",4.458740879441,5.88630641489432
"y_all[76]",7.241059624,7.19130167507367
"y_all[77]",5.4516636646,1.51428734987557
"y_all[78]",3.558633387361,3.92800346111958
"y_all[79]",4.1594160123,4.73072093751331
"y_all[81]",6.9436765287,7.87301967105115
"y_all[83]",11.4016904462,10.4306584860622
"y_all[84]",3.641903526251,4.80461277956128
"y_all[86]",4.779343938581,4.73115244885915
"y_all[87]",10.5955779346,8.9365460097903
"y_all[88]",4.46810512967,3.45731085306759
"y_all[89]",5.9599631283,8.28718350660448
"y_all[90]",7.3675562888,10.669721448262
"y_all[91]",7.7199691663,6.57714961335075
"y_all[92]",9.6196019975,10.8605901745094
"y_all[93]",6.309099006,5.85995222271708
"y_all[94]",6.1864637224,6.9582850332788
"y_all[95]",9.4425044979,9.57503710390857
"y_all[96]",12.1760943734,12.361248141095
"y_all[98]",5.5392602343,5.0582458250776
"y_all[99]",7.4471960233,5.8997863378351
"y_all[100]",6.5296855901,5.72984147052766
"y_all[101]",4.95651441271,3.50921350889315
"y_all[102]",6.5060501589,8.22655807063528
"y_all[103]",4.25760736934,6.91845215373133
"y_all[104]",6.921710427,8.11341447450096
"y_all[105]",5.653958787,5.31644320171753
"y_all[106]",7.8933583204,5.4664692403948
"y_all[107]",7.7586405372,8.65090460146437
"y_all[108]",9.5773246066,11.3052031265218
"y_all[109]",8.4314298834,9.04019598347895
"y_all[110]",8.4359848739,7.49115113277688
"y_all[111]",4.0472272746,1.8997041992671
"y_all[112]",6.2032934847,6.26550185779067
"y_all[113]",8.1696747955,9.97096148036545
"y_all[114]",4.73897972701,4.30925964458591
"y_all[115]",6.7013868433,4.43499764865705
"y_all[116]",3.2800647342002,2.82893161416431
"y_all[117]",8.0781209724,10.1778665640993
"y_all[118]",5.4972992467,6.15147773218264
"y_all[119]",8.187722974,7.58056098776056
"y_all[121]",5.9178136712,5.07855407317861
"y_all[122]",9.6068875528,9.77197339957308
"y_all[123]",6.5259532943,5.64573754812815
"y_all[124]",6.21591332751,6.63604652417117
"y_all[125]",6.6549681066,2.79033981817064
"y_all[126]",9.0390856498,7.11593517066145
"y_all[127]",7.1808449069,6.8645359084187
"y_all[128]",5.10930231126,5.13744545344124
"y_all[129]",6.6174870585,7.73884627836807
"y_all[130]",5.7551889075,3.39085775737879
"y_all[131]",5.09647336774,4.94982568557165
"y_all[132]",4.26374666612,4.34369493575002
"y_all[134]",5.095617964755,6.24051527883308
"y_all[135]",6.98873157,5.79654070621135
"y_all[136]",1.6469252205242,1.05962997053788
"y_all[137]",7.4890085637,9.39700780334089
"y_all[138]",7.7387240634,6.89158365563035
"y_all[140]",7.9991520819,9.03922144142803
"y_all[141]",-0.256783306835904,0.696641550818347
"y_all[142]",6.8490262027,6.32513933794658
"y_all[143]",7.2635027841,7.40008936289934
"y_all[144]",7.859040502,6.3859837410732
"y_all[145]",2.9917239808853,2.3806165776046
"y_all[146]",5.1834332875,6.66949095836156
"y_all[147]",7.2102018353,8.93536147558864
"y_all[148]",6.9486494444,7.56607933994314
"y_all[149]",0.7462965892117,-0.689410786390494
"y_all[151]",8.9407280503,7.48050589498572
"y_all[152]",6.6814806064,5.21132665263358
"y_all[153]",7.0545571115,7.28516504398852
"y_all[154]",6.8444145784,7.06405728608916
"y_all[155]",5.6955068439,7.7340988846048
"y_all[157]",10.8163135702,12.5328496899209
"y_all[158]",6.9035770071,7.12879864131399
"y_all[159]",3.7909238627933,5.08973280189594
"y_all[160]",10.7190558049,9.08827055839029
"y_all[161]",5.997157645,5.59009154538044
"y_all[163]",8.2302890053,8.77804159632731
"y_all[164]",11.0638530502,8.23583565562495
"y_all[166]",11.1756010455,9.74419423033791
"y_all[167]",4.63079764806,3.10272202200978
"y_all[168]",3.088815979545,3.739567627715
"y_all[169]",6.131090168,5.55998484664508
"y_all[170]",4.90147572359,5.54018994502132
"y_all[171]",11.1899584284,10.8901243062851
"y_all[172]",6.0350840255,7.34342072194715
"y_all[173]",6.0707509623,4.62647412993687
"y_all[174]",8.4123672806,8.92077866505995
"y_all[175]",6.7362784015,5.72255481755585
"y_all[176]",7.6123483395,6.92852949718967
"y_all[177]",9.7556087844,10.0151208353673
"y_all[178]",11.8639062772,11.6369416876853
"y_all[179]",7.6309868894,6.81381245670622
"y_all[181]",4.67941817231,3.50564744781599
"y_all[182]",8.1948480196,10.2539445451769
"y_all[183]",5.9995348115,6.77328457615806
"y_all[184]",1.7925839009763,1.63487345644887
"y_all[185]",6.1237792595,4.98369203536473
"y_all[186]",5.0922201973,4.89500261424386
"y_all[187]",8.3538927896,8.44709981252118
"y_all[188]",6.9414225134,6.18011610931842
"y_all[189]",5.46260134719,5.90956166605162
"y_all[190]",3.698469818249,4.76596969994064
"y_all[191]",7.9304599129,7.21243248277788
"y_all[192]",6.8685784187,8.19610488860231
"y_all[193]",5.6842035965,2.97424871200013
"y_all[194]",5.6067613969,7.2305516633691
"y_all[195]",7.1665767268,6.62874580224401
"y_all[196]",4.73992396139,4.43687516628166
"y_all[197]",8.991181873,9.8386710545519
"y_all[198]",5.17720321417,5.5194337430983
"y_all[199]",4.75669736734,3.48344078596219
"y_all[200]",6.6464090581,6.63477496974548
"y_all[201]",6.7288416736,7.72462760195857
"y_all[202]",8.6483736465,9.81047350517419
"y_all[203]",11.0162327543,11.722109729036
"y_all[205]",0.42293878766236,0.146759801996204
"y_all[206]",12.0280643899,12.5629688802505
"y_all[207]",9.3608103661,8.98199127809005
"y_all[208]",5.8967681921,6.02460424206036
"y_all[210]",7.4286644842,8.48055383622718
"y_all[211]",6.9346343756,8.55673197385818
"y_all[212]",7.5648618155,5.86856413988058
"y_all[213]",4.02686862096,4.40283011032606
"y_all[214]",3.914878767192,6.6499203528629
"y_all[215]",8.3808731485,8.40422409259476
"y_all[216]",12.8716500624,12.79247863267
"y_all[217]",5.5746968719,4.42006135479762
"y_all[218]",5.291516002,6.49388046202861
"y_all[219]",10.3724033308,10.1627150566912
"y_all[220]",5.06283479333,3.80953001377713
"y_all[221]",3.42947366531,1.63162018597297
"y_all[222]",7.126559168,6.02563965205041
"y_all[224]",4.77461939461,5.9626007863581
"y_all[225]",3.31686726787133,2.86118146427626
"y_all[226]",10.8753598616,8.79147349806576
"y_all[227]",6.1193428833,7.40866073817391
"y_all[228]",3.97697666468,2.72798509436623
"y_all[229]",6.4943071709,6.6466885715771
"y_all[230]",6.77195952419,9.24846685622346
"y_all[231]",5.6148259948,9.30345977597957
"y_all[232]",3.139167942442,2.62398476891913
"y_all[233]",6.3121128356,5.48790700180968
"y_all[234]",7.0452566654,6.47109935723763
"y_all[235]",7.0183616481,7.5048472778433
"y_all[236]",7.0728090055,9.96681693178449
"y_all[237]",5.79629209926,5.42242815317433
"y_all[238]",5.3749523129,4.99412672643954
"y_all[239]",6.4478328973,5.91097093155532
"y_all[240]",2.587656442166,3.82240738100927
"y_all[241]",6.3806451909,5.70520688893573
"y_all[242]",9.0857961257,8.55375754373907
"y_all[243]",6.0709337811,8.58769599943985
"y_all[244]",6.28728285912,4.45037570707806
"y_all[245]",6.3590090624,7.6302401313035
"y_all[246]",4.41008692768,5.13414843471133
"y_all[247]",5.81269632356,7.25225631167727
"y_all[248]",3.010288085662,2.71704443077377
"y_all[249]",5.5584715902,4.10323930303229
"y_all[250]",8.6227228479,7.37909142609635
"y_all[251]",5.9815346503,5.18903660122312
"y_all[252]",5.0645787814,6.39395404514525
"y_all[253]",8.7875326494,7.57370351521142
"y_all[254]",5.746080595,3.95277879223964
"y_all[255]",5.73982402444,4.53480653053777
"y_all[256]",8.7639290702,5.60019058018871
"y_all[257]",2.336639793795,5.31011451983562
