"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.1694451416009,0.13198060212432,0.0213983627,0.50947031675
"2",0.75,0.305714848385,0.182332756184418,0.0484387574,0.7130454365
"3",0.85,0.87739262334,0.0376864324944032,0.79208629275,0.9380245575
"4",0.95,0.88784335557,0.0248522526140667,0.8347198885,0.92865821
"5",1.5,1.3752096969,0.0576987042039635,1.26557077,1.49592168
"6",6,6.6513873117,0.150831869077324,6.344100715,6.942496675
"7",7,7.732056202,0.137359837399044,7.4581432025,7.9954807675
"8",6.5,7.9021380836,0.138622346332041,7.6390406025,8.1689410475
"9",5,6.5132196635,0.104226303072178,6.31060587,6.71908643
"10",1.9,1.9254393434,0.062643070762552,1.801880605,2.0455200625
"11",-0.5,-0.48733531556,0.0635738662677155,-0.615539651,-0.36590294875
"12",-1.4,-1.3493607643,0.0635405783671473,-1.4713176025,-1.22186653
"13",0,0.012550541207527,0.0313272075680645,-0.04849677565,0.071636484075
"14",0,-0.000680538009803,0.0307315197460721,-0.0574686345,0.0597429989
"15",11.39,11.39,11.39,11.39,11.39
