"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.868,"11100"
"3",0.067,"11101"
"17",0.032,"11110"
"9",0.022,"10100"
"138",0.004,"11111"
"215",0.004,"10101"
"373",0.003,"10110"
