"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.101878564408,0.0450902760775296,0.038562315625,0.21013468
"2",0.75,0.118629303767,0.0423188262229767,0.051358951925,0.21239149775
"3",0.85,0.209639442142,0.055594554131194,0.119836647,0.334787688
"4",0.95,0.180758246107,0.0531622232333948,0.096989791925,0.30327147325
"5",0.6,0.50391119381,0.0993063421714184,0.30572904725,0.697891021
"6",0.7,0.50752285253,0.104982663472881,0.31028846675,0.721143732
"7",0.6,0.18161127438803,0.171051452968903,-0.13299719625,0.51240350675
"8",0.5,0.44210655215,0.138458831838164,0.14762329,0.71021256175
"9",1.9,0.80155232482,0.0771467277838888,0.64660123,0.94889854775
"10",-0.5,-0.2006923132601,0.0679577787410638,-0.33571826075,-0.071002331775
"11",-1.4,-0.64540811361,0.0710037756399165,-0.78406826175,-0.5010123025
"12",0,2.67846583600002e-06,0.0603338414694157,-0.1148431495,0.116561496
"13",0,0.036596465586,0.0643616537939802,-0.086846945375,0.157167036
"14",34.8400000000001,34.8400000000001,34.8400000000001,34.8400000000001,34.8400000000001
