"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.431,"11111"
"12",0.164,"11101"
"2",0.148,"11110"
"7",0.103,"10111"
"11",0.065,"11100"
"4",0.044,"10101"
"87",0.029,"10110"
"35",0.01,"10100"
"213",0.003,"11011"
"17",0.002,"11010"
"786",0.001,"11001"
