"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.33,"11111"
"4",0.191,"11101"
"2",0.173,"11110"
"7",0.09,"10111"
"11",0.089,"11100"
"6",0.052,"10101"
"29",0.042,"10110"
"35",0.031,"10100"
"17",0.001,"11010"
"115",0.001,"11000"
