"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.7,"11111"
"6",0.105,"11101"
"2",0.089,"11110"
"7",0.067,"10111"
"35",0.011,"11100"
"4",0.01,"10101"
"16",0.008,"11011"
"524",0.005,"10110"
"298",0.003,"01111"
"394",0.001,"00111"
"779",0.001,"10011"
