"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.719,"11111"
"32",0.095,"11110"
"9",0.075,"11101"
"2",0.071,"10111"
"29",0.012,"11100"
"183",0.008,"10101"
"79",0.005,"11011"
"248",0.005,"10110"
"316",0.005,"10100"
"97",0.001,"11010"
"277",0.001,"11001"
"546",0.001,"01101"
"815",0.001,"00111"
"986",0.001,"10011"
