"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.0696514660222,0.0623604881182429,0.008523652275,0.24217976075
"2",0.75,0.0623429881607,0.0560839764294823,0.00677160987,0.206943088
"3",0.85,0.0997302049417,0.0902066131741792,0.0127658882,0.348614371
"4",0.95,0.08141838744075,0.0771254313663318,0.00957312947,0.30063824175
"5",0.6,2.4827890996,0.053240021793378,2.3765399175,2.5867853375
"6",0.7,3.3979843387,0.0456301799414453,3.3122574225,3.4908336075
"7",0.6,3.4852565316,0.065738222681172,3.3643466725,3.6123861
"8",0.5,3.3296308206,0.0544834566820835,3.2137518575,3.4351303575
"9",1.9,4.8350983365,0.0279819621916046,4.778895845,4.8885423825
"10",-0.5,-1.1776425406,0.0253525837785422,-1.22801583,-1.1292599
"11",-1.4,-3.6475181172,0.0269793649065233,-3.70020495,-3.5926519475
"12",0,-0.011669417498778,0.0211556308300771,-0.0519392871,0.029201100475
"13",0,0.014148995801363,0.0207566861018427,-0.025661605,0.0530331034
"14",44.9400000000001,44.9400000000001,44.9400000000001,44.9400000000001,44.9400000000001
