"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.0764747214278,0.0673932321680889,0.0094928206175,0.26234440325
"2",0.75,0.0673716759089,0.0607506907648576,0.0071316675825,0.22426579075
"3",0.85,0.0971946283005,0.0885408130088438,0.012373736475,0.34154610275
"4",0.95,0.08377828720033,0.0801037463191696,0.0095141495425,0.31205029925
"5",0.6,1.8346557965,0.0539859841481357,1.7269179225,1.94010922
"6",0.7,2.3846297272,0.0459654581016005,2.298272895,2.4781611475
"7",0.6,2.4066168573,0.0667839808765998,2.283783635,2.5357687675
"8",0.5,2.3902438948,0.0531527354685678,2.2771952225,2.49316665
"9",1.9,3.4431110826,0.0274928777262011,3.387891005,3.495621005
"10",-0.5,-0.85962791565,0.025275148907916,-0.90984734325,-0.81139306225
"11",-1.4,-2.5823582681,0.02732113358811,-2.63571249,-2.526797015
"12",0,-0.010778746678868,0.0209410329041667,-0.050640128225,0.029677190125
"13",0,0.011099501796038,0.0215210969592088,-0.030177213125,0.05141560255
"14",32.75,32.75,32.75,32.75,32.75
