"","Probabilidad_Posterior","Configuracion_Modelo"
"3",0.479,"11100"
"1",0.205,"11101"
"2",0.128,"11110"
"20",0.067,"10100"
"18",0.063,"11111"
"6",0.034,"10101"
"49",0.02,"10110"
"569",0.004,"10111"
