"","Probabilidad_Posterior","Configuracion_Modelo"
"3",0.298,"11100"
"12",0.215,"11101"
"2",0.156,"11110"
"1",0.142,"11111"
"20",0.073,"10100"
"6",0.049,"10101"
"57",0.043,"10110"
"49",0.024,"10111"
