"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.639,"11111"
"6",0.114,"11101"
"2",0.109,"11110"
"7",0.081,"10111"
"11",0.021,"11100"
"4",0.015,"10101"
"187",0.009,"11011"
"329",0.007,"10110"
"607",0.002,"01111"
"465",0.001,"01110"
"480",0.001,"10100"
"536",0.001,"10011"
