"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.715,"11111"
"6",0.1,"11110"
"5",0.081,"11101"
"26",0.065,"10111"
"3",0.012,"11100"
"46",0.009,"10101"
"480",0.007,"11011"
"140",0.004,"10110"
"4",0.002,"01111"
"553",0.002,"10011"
"31",0.001,"11010"
"34",0.001,"10100"
"320",0.001,"01110"
