"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.699,"11100"
"8",0.151,"11101"
"9",0.071,"11110"
"16",0.051,"10100"
"18",0.013,"11111"
"62",0.011,"10101"
"495",0.004,"10110"
