"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.162810684179,0.060089880080286,0.07124184165,0.31034550375
"2","0.75",0.160488539521,0.0583202315901882,0.06797689195,0.29249864775
"3","0.85",0.179597450409,0.0709611441446599,0.072929910925,0.347888382
"4","0.95",0.181734059866,0.0689307574443106,0.076342864075,0.34555428875
"5","0.6-0.7-0.6-0.5",0.665117769372,0.230152059843795,0.22994495425,1.1016621475
"6","1.9",1.03953401659,0.246675747041823,0.5547110485,1.5289298075
"7","-0.5",-0.2613765638431,0.207838144190176,-0.6601842355,0.14364871675
"8","-1.4",-0.778398395716,0.223861031293108,-1.202630785,-0.3518732285
"9","0",-0.02892614918,0.19723115058878,-0.40586986025,0.3645822105
"10","0",0.047957547934961,0.207380489646106,-0.34960712825,0.47146069475
"11","36.4099999999999",36.4099999999999,36.4099999999999,36.4099999999999,36.4099999999999
