"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.32,"11111"
"5",0.208,"11101"
"25",0.193,"11110"
"3",0.097,"11100"
"11",0.066,"10111"
"19",0.041,"10101"
"9",0.039,"10100"
"6",0.035,"10110"
"170",0.001,"11011"
