"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.227,"11111"
"12",0.213,"11101"
"2",0.176,"11110"
"3",0.164,"11100"
"6",0.062,"10101"
"20",0.059,"10100"
"8",0.053,"10111"
"29",0.046,"10110"
