"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.0692885883666,0.0615705226248248,0.0086463686375,0.2393785765
"2",0.75,0.0624188713751,0.0561070464048205,0.006791292505,0.20706441325
"3",0.85,0.1001958593022,0.0902654648390096,0.012923909725,0.3490920965
"4",0.95,0.08105886279642,0.0771482345845342,0.0094346646775,0.3005200775
"5",0.6,2.4715757759,0.0536478793194415,2.3645125575,2.5763687475
"6",0.7,3.3845646193,0.0457356370795248,3.2986396125,3.4776284525
"7",0.6,3.4667261631,0.0663814075785752,3.3446333275,3.5950995125
"8",0.5,3.3175148147,0.053790150062788,3.2031103925,3.421671855
"9",1.9,4.8170389568,0.0277026564969691,4.761397535,4.869949565
"10",-0.5,-1.1713243135,0.0253156776584,-1.2216242975,-1.1230121025
"11",-1.4,-3.6279289916,0.0271344140858392,-3.680918615,-3.572747435
"12",0,-0.0115347230207449,0.0210313014638318,-0.05156793125,0.02909560285
"13",0,0.012575035866744,0.0210993883104831,-0.02789285595,0.052101137725
"14",32.61,32.61,32.61,32.61,32.61
