"","Probabilidad_Posterior","Configuracion_Modelo"
"1",0.318,"11111"
"4",0.204,"11110"
"9",0.177,"11101"
"13",0.094,"10111"
"15",0.092,"11100"
"2",0.046,"10101"
"32",0.045,"10110"
"12",0.024,"10100"
