"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.26359699916,0.029462598738091,0.20838076725,0.32151591325
"2",0.75,0.30684908562,0.0220190878582444,0.26659472475,0.35215760775
"3",0.85,0.40138746788,0.0328284507343807,0.3360748725,0.46560118325
"4",0.95,0.43129589126,0.0264158183806315,0.37974342975,0.4842297275
"5",1.2,1.4994299895,0.0388738860553663,1.4242281825,1.5754004
"6",1.9,3.0888955422,0.0251189899722143,3.037710755,3.138390305
"7",-0.5,-0.81758831787,0.0256918110571117,-0.86774106075,-0.7695398585
"8",-1.4,-2.2912742967,0.0271370877828656,-2.34329124,-2.2384764275
"9",0,-0.011472301842063,0.0212995159411933,-0.051419755975,0.030703834225
"10",0,0.023375679663037,0.0212880398448659,-0.01704173875,0.065380665225
"11",55.3999999999978,55.3999999999978,55.3999999999978,55.3999999999978,55.3999999999978
