"","yhat_SN",""
"y_all[1]",2.7855945714816,1.61280712114444
"y_all[2]",5.7244394284,5.74761181331437
"y_all[4]",9.9951184695,8.36087958854775
"y_all[5]",7.9091787257,9.12455220899866
"y_all[6]",2.7412741069848,1.89824567550002
"y_all[7]",3.353989929312,0.507820860667325
"y_all[8]",6.3571071735,7.43495314954571
"y_all[9]",3.966176488262,4.54300599542379
"y_all[10]",2.391987994459,2.85390243336319
"y_all[11]",8.4699121795,7.32020216060809
"y_all[12]",5.71358848715,6.49657899150385
"y_all[13]",6.6848606076,6.44754218593345
"y_all[14]",-1.811513149696,-2.3778101450208
"y_all[15]",7.1447841292,7.43844703800235
"y_all[17]",6.5412230044,7.45125438735151
"y_all[18]",10.6011307041,9.37812886741378
"y_all[19]",7.5316270041,9.72246804772965
"y_all[21]",8.002189251,9.10879832070244
"y_all[22]",4.63423750203,3.07932217787504
"y_all[23]",3.112450360311,3.41770451882957
"y_all[24]",4.79072080371,4.06586925720033
"y_all[25]",6.8409092485,6.73490372357912
"y_all[26]",6.9016198931,4.59921243102588
"y_all[29]",6.7614360324,6.0282592959707
"y_all[31]",5.9763738977,7.75364714960249
"y_all[33]",7.2341485376,8.05073986472864
"y_all[35]",2.4164669241223,2.21245536434202
"y_all[36]",4.80588835481,7.22449479016066
"y_all[37]",5.35434178785,5.55597070785612
"y_all[38]",4.63311932621,3.53174774428003
"y_all[39]",5.19146404869,6.18999939378879
"y_all[40]",4.1453519303,3.78749729127467
"y_all[41]",4.271705056912,5.89223817107646
"y_all[43]",5.1298435313,3.55535076914143
"y_all[44]",9.0899060114,8.91042000780045
"y_all[46]",3.96089337323,2.18941014659545
"y_all[49]",1.636391655701,0.812207077153356
"y_all[50]",8.1107842164,7.97257675027077
"y_all[51]",7.7591716207,9.5326508861372
"y_all[52]",1.0030232671789,2.70739847854545
"y_all[53]",4.75294575497,4.67505184405397
"y_all[54]",3.80277688172,2.89079633119243
"y_all[56]",8.2287603657,9.72775428759273
"y_all[59]",7.1187756476,4.60276140817274
"y_all[60]",4.76959176575,6.94361055748917
"y_all[61]",9.1900384029,9.21981863955836
"y_all[62]",7.1313832009,9.92328521403256
"y_all[63]",4.059052485352,4.82796757179385
"y_all[64]",6.6043406667,5.09000720832811
"y_all[65]",4.2129682302,3.77267597239984
"y_all[66]",5.2785145886,5.844604535288
"y_all[67]",0.9408182466229,-0.81822654753435
"y_all[68]",5.9067025251,4.94154724827878
"y_all[69]",1.388621525304,1.63842750093811
"y_all[70]",8.0969589044,6.10989093201493
"y_all[72]",6.6092341639,6.709104613176
"y_all[73]",4.014043602346,3.95469576653707
"y_all[74]",3.512292100637,2.7315752743467
"y_all[75]",3.0041386349387,4.85801555494474
"y_all[76]",6.1313474389,6.78660497587674
"y_all[77]",4.13002418707,1.4368339928378
"y_all[78]",2.361276261291,2.03158866322288
"y_all[79]",3.0040471691343,1.79546970281388
"y_all[81]",5.71115241074,6.72670224186378
"y_all[83]",10.2952755638,9.88355633860751
"y_all[84]",2.2716334747608,4.62175746520708
"y_all[86]",3.5637266698998,1.73464005132736
"y_all[88]",3.032279820892,2.67136605090616
"y_all[89]",4.65700185857,6.23979533074196
"y_all[90]",6.2107908039,8.18780668724686
"y_all[91]",6.5104378796,5.36932578581418
"y_all[92]",8.542983435,10.803547615202
"y_all[93]",5.1836508105,5.27160714525521
"y_all[94]",5.10856040037,6.10831373716058
"y_all[95]",8.4303172465,6.76734560294394
"y_all[96]",10.8750032889,12.1452523997868
"y_all[99]",6.0320198096,5.73441249264835
"y_all[100]",5.19169259048,4.8875715477907
"y_all[103]",2.8567217743898,5.5427835098656
"y_all[104]",5.68993275725,6.03897410660947
"y_all[105]",4.391943271881,1.93512048862523
"y_all[106]",6.8456122074,5.39297771723842
"y_all[107]",6.66200367537,8.55972397420015
"y_all[108]",8.7275975611,9.88737344637726
"y_all[109]",7.1991390597,7.75771592460036
"y_all[110]",7.1859117947,7.0553752785622
"y_all[111]",2.811016698626,1.47654054587283
"y_all[114]",3.41919610113,3.5400345025764
"y_all[116]",2.110857131238,1.55080132226421
"y_all[117]",6.9660677989,6.59679457805096
"y_all[118]",4.23259443818,5.99984586886576
"y_all[119]",6.8818945272,7.43742767692629
"y_all[121]",4.59391215948,5.00256000580457
"y_all[122]",8.5212027789,8.2950600095837
"y_all[123]",5.2208455627,5.08882786011741
"y_all[125]",5.33690079597,1.23765030687018
"y_all[126]",7.8209835916,6.66481575793779
"y_all[127]",5.9465406523,6.27622827638749
"y_all[128]",4.00056464035,1.4583015733638
"y_all[130]",4.51597566647,2.80057399737703
"y_all[131]",3.8176361146,4.58752653537155
"y_all[132]",2.99740623999,3.14717347499662
"y_all[134]",3.6584867885158,5.70358283538724
"y_all[135]",5.73972854,3.45957657424374
"y_all[136]",0.0957797564029,-0.0282465422142724
"y_all[137]",6.2287800472,7.08190311299303
"y_all[138]",6.437012157,4.22483705098995
"y_all[140]",6.7149409077,8.8790346640884
"y_all[141]",-1.653339280994,-1.24083520649897
"y_all[142]",5.8731709206,6.18506144407509
"y_all[143]",6.0625138742,7.34081511606867
"y_all[144]",6.4649418063,5.33072459162796
"y_all[145]",1.642375443509,2.27444237498383
"y_all[146]",3.853511844706,5.35590091833503
"y_all[148]",5.649063491,6.42087892597862
"y_all[149]",-0.5565361485254,-1.68731524019617
"y_all[151]",7.8002266904,7.04911971283664
"y_all[152]",5.4386357389,4.61745909688128
